"icao","iata","name"
"HSK","","Sky Europe Airlines"
"SEH","G3","Sky Express"
"","RS","Sky Regional"
"CR7","C7","Sky Wing Pacific"
"ESK","NE","SkyEurope"
"SJU","UQ","Skyjet Airlines"
"SKY","BC","Skymark Airlines"
"SIH","SI","Skynet Airlines"
"SNJ","6J","Skynet Asia Airways"
"SSV","5G","Skyservice Airlines"
"SYX","AL","Skywalk Airlines"
"SKX","JZ","Skyways Express"
"SKW","OO","SkyWest"
"OZW","","Skywest Airlines"
"","XR","Skywest Australia"
"ELC","","Small Planet Airlines"
"","6Y","SmartLynx Airlines"
"KOL","CQ","SOCHI AIR"
"OLS","","Sol Lineas Aereas"
"SRB","","Solar Air"
"SOL","IE","Solomon Airlines"
"SAA","SA","South African Airways"
"SRQ","DG","South East Asian Airlines"
"SPI","","South Pacific Island Airways"
"SEA","","Southeast Air"
"SOA","","Southern Air Charter"
"SOU","","Southern Airways"
"SWD","A4","Southern Winds Airlines"
"SWA","WN","Southwest Airlines"
"JKK","JK","Spanair"
"SEJ","SG","Spicejet"
"NKS","NK","Spirit Airlines"
"MNP","SM","Spirit of Manila Airlines"
"CQH","9S","Spring Airlines"
"ALK","UL","SriLankan Airlines"
"SJY","SJ","Sriwijaya Air"
"SFJ","7G","Star Flyer"
"","2I","Star Peru"
"HCW","V9","Star1 Airlines"
"","S9","Starbow Airlines"
"","DZ","Starline.kz"
"SNB","NB","Sterling Airlines"
"STP","8F","STP Airways"
"","VC","Strategic Airlines"
"SUD","SD","Sudan Airways"
"SCX","SY","Sun Country Airlines"
"ERO","7L","Sun D'Or"
"SXS","XQ","SunExpress"
"","WG","Sunwing"
"SZZ","","SUR Lineas Aereas"
"SLM","PY","Surinam Airways"
"SVG","","SVG Air"
"SWV","WV","Swe Fly"
"SWU","","Swiss European Air Lines"
"SWR","LX","Swiss International Air Lines"
"SWR","SR","Swissair"
"SYR","RB","Syrian Arab Airlines"
"PSB","","Syrian Pearl Airlines"
"DTA","DT","TAAG Angola Airlines"
"","T0","TACA Peru"
"TCV","VR","TACV"
"","7J","Tajik Air"
"TIL","","Tajikistan International Airlines"
"TAM","JJ","TAM Brazilian Airlines"
"LAP","PZ","TAM Mercosur"
"TAE","EQ","TAME"
"TPA","QT","TAMPA"
"TAP","TP","TAP Portugal"
"ROT","RO","Tarom"
"TAK","U9","Tatarstan Airlines"
"TXW","TQ","Texas Wings"
"TCG","T2","Thai Air Cargo"
"AIQ","FD","Thai AirAsia"
"THA","TG","Thai Airways International"
"TCX","MT","Thomas Cook Airlines"
"TCW","FQ","Thomas Cook Airlines Belgium"
"TOM","BY","Thomsonfly"
"GCR","","Tianjin Airlines"
"TNM","3P","Tiara Air"
"TGW","TR","Tiger Airways"
"TGW","TT","Tiger Airways Australia"
"TMA","TL","Trans Mediterranean Airlines"
"TP6","T6","Trans Pas Air"
"LOF","AX","Trans States Airlines"
"TSO","UN","Transaero Airlines"
"TNA","GE","TransAsia Airways"
"TDK","","Transavia Denmark"
"TVF","TO","Transavia France"
"TRA","HV","Transavia Holland"
"THS","TH","TransBrasil Airlines"
"THI","TI","TransHolding"
"TYS","YO","TransHolding System"
"TLA","","Translift Airways"
"NDN","","Transportes Aereos Cielos Andinos"
"ABS","9T","Transwest Air"
"TBZ","TB","TrasBrasil"
"TVS","QS","Travel Service"
"TGN","","Trigana Air Service"
"TIB","8R","TRIP Linhas A"
"TOS","PM","Tropic Air"
"TUI","X3","TUIfly"
"BLX","6B","TUIfly Nordic"
"TAR","TU","TunisAir"
"TUX","UG","TunisAir Express"
"URN","3T","Turan Air"
"THK","","Turk Hava Kurumu Hava Taksi Isletmesi"
"HVK","","Turkish Air Force"
"THY","TK","Turkish Airlines"
"TWD","","Turkish Wings Domestic"
"TUA","T5","Turkmenistan Airlines"
"TRK","","Turkuaz Airlines"
"TWB","TW","Tway Airlines"
"TJT","T7","Twin Jet"
"TYR","","Tyrolean Airways"
"AUI","PS","Ukraine International Airlines"
"UKM","UF","UM Airlines"
"UIA","B7","Uni Air"
"UAC","","United Air Charters"
"UAL","UA","United Airlines"
"UBD","4H","United Airways"
"AIO","","United States Air Force"
"SVR","U6","Ural Airlines"
"USA","US","US Airways"
"USH","","US Helicopter"
"","UH","US Helicopter Corporation"
"ES2","E1","Usa Sky Cargo"
"GWY","U5","USA3000 Airlines"
"UTA","UT","UTair Aviation"
"","UR","UTair-Express"
"UZB","HY","Uzbekistan Airways"
"VAU","VA","V Australia Airlines"
"VLU","VF","Valuair"
"VLO","LC","Varig Log"
"VFC","","Vasco Air"
"VSP","VP","VASP"
"VKJ","KT","VickJet"
"HVN","VN","Vietnam Airlines"
"VKH","VQ","Viking Hellas"
"MOV","NN","VIM Airlines"
"","V6","VIP Ecuador"
"VRD","VX","Virgin America"
"VIR","VS","Virgin Atlantic Airways"
"VOZ","DJ","Virgin Australia"
"VEX","TV","Virgin Express"
"VGN","VK","Virgin Nigeria Airways"
"VNP","VH","Virgin Pacific"
"VWA","YY","Virginwings"
"VIS","","Vision Air International"
"VVM","ZG","Viva Macau"
"VLK","XF","Vladivostok Air"
"VLM","VG","VLM Airlines"
"VLE","VE","Volare Airlines"
"VOI","Y4","Volaris"
"VDA","VI","Volga-Dnepr Airlines"
"VRN","RG","VRG Linhas Aereas"
"VLG","VY","Vueling Airlines"
"KW1","","Wataniya Airways"
"","7W","Wayraper"
"WEB","WJ","WebJet Linhas A"
"WLC","2W","Welcome Air"
"CHB","PN","West Air China"
"","8O","West Coast Air"
"WAL","WA","Western Airlines"
"WFX","","Westfalia Express VA"
"WJA","WS","WestJet"
"WTJ","","Whitejets"
"WIF","WF","Widerøe"
"JET","IV","Wind Jet"
"WRC","","Wind Rose Aviation"
"","WM","Windward Islands Airways"
"WON","IW","Wings Air"
"WZZ","W6","Wizz Air"
"WVL","8Z","Wizz Air Hungary"
"WAU","WU","Wizz Air Ukraine"
"WOA","WO","World Airways"
"WE1","W1","World Experience Airline"
"CXA","MF","Xiamen Airlines"
"SEU","SE","XL Airways France"
"XOJ","","XOJET"
"","XN","Xpressair"
"LLM","YL","Yamal Airlines"
"","HK","Yangon Airways"
"","Y1","Yellowstone Club Private Shuttle"
"IYE","IY","Yemenia"
"YEP","","YES Airways"
"","YT","Yeti Airways"
"YZZ","YZ","Yours Air Lines"
"CYH","3Q","Yunnan Airlines"
"UMK","2N","Yuzhmashavia"
"ZTT","Z6","ZABAIKAL AIRLINES"
"ZZZ","ZP","Zabaykalskii Airlines"
"","ZJ","Zambezi Airlines"
"","K8","Zambia Skyways"
"TAN","","Zanair"
"PZY","","Zapolyarie Airlines"
"","Z2","Zest Air"
"OOM","Z4","Zoom Airlines"
"","ZZ","Zz"
