iata,icao,name
,CCX,Colt International,
,COH,Coltishall Flying Training Unit,
,COL,Columbia Air,
,WCO,Columbia Helicopters,
,KLR,Columbus Air Transport,
,GHP,Colvin Aviation,
MN,CAW,Comair,
OH,COM,Comair,
,PDR,COMAV,
,CDE,Comed Group,
,CVV,Comeravia,
,CRS,Comercial Aérea,
,CMG,Comet Airlines,
,FYN,Comfort Air,
,CLA,Comlux Aviation,
,CMH,Commair Aviation,
,CTM,Commandement Du Transport Aerien Militaire Francais,
,CML,Commander Air Charter,
,CRM,Commander Mexicana,
,CMS,Commercial Aviation,
,GAR,Commodore Aviation,
,CJS,Commonwealth Jet Service,
C5,UCA,CommutAir,
KR,CWK,Comores Airlines,
,CPI,Compagnia Aerea Italiana,
,CGR,Compagnia Generale Ripreseaeree,
,CMM,Compagnie Aérienne du Mali,
,GIC,Compagnie de Bauxites de Guinee,
,CPM,Compagnie Mauritanienne Des Transports,
,BFN,Compangnie Nationale Naganagani,
,AIF,Compañía Aérea de Valencia,
,ATF,Compañía Aerotécnicas Fotográficas,
,ASU,Compañía Boliviana de Transporte Aéreo Privado Aerosur,
,LCT,Compañía De Actividades Y Servicios De Aviación,
,TAV,Compañía de Servicios Aéreos Tavisa,
,EJV,Compania Ejecutiva,
,HSE,Compania Helicopteros Del Sureste,
,MDR,Compania Mexicana De Aeroplanos,
GJ,MXC,Compania Mexicargo,
,HSS,Compañía Transportes Aéreos Del Sur,
CP,CPZ,Compass Airlines,
,CPS,Compass International Airways,
,XCO,Compuflight Operations Service,
,XCS,Compuserve,
,CRC,Conair Aviation,
,COD,Concordavia,
,CIB,Condor,
,CNR,Condor Aero Services,
DE,CFG,Condor Flugdienst,
,COF,Confort Air,
,CAK,Congo Air,
,CGA,Congressional Air,
,ROY,Conifair Aviation,
,CBY,Coningsby Flying Training Unit,
,BSN,Connectair Charters,
,CAC,Conquest Airlines,
,CXO,Conroe Aviation Services,
,VCH,Consorcio Helitec,
,UZA,Constanta Airline,
,KIS,Contactair,
,XCL,Contel ASC,
CO,COA,Continental Airlines,
PC,PVV,Continental Airways,
CO,,Continental Express,
CS,CMI,Continental Micronesia,
,CON,Continental Oil,
V0,VCV,Conviasa,
,CKA,Cook Inlet Aviation,
,SVY,Cooper Aerial Surveys,
CM,CMP,Copa Airlines,
,CAT,Copenhagen Air Taxi,
,COP,Copper State Air Service,
,AAQ,Copterline,
,CCW,Coptrade Air Transport,
,CAI,Corendon Airlines,
,CRA,Coronado Aerolíneas,
,CPB,Corpac Canada,
,CNC,Corporación Aéreo Cencor,
,CPG,Corporacion Aeroangeles,
,CGY,Corporacion Paraguaya De Aeronautica,
,CPR,Corporate Air,
,CPT,Corporate Air,
,CPO,Corporate Aircraft,
,COO,Corporate Airlink,
,CKE,Corporate Aviation Services,
,VHT,Corporate Flight International,
,VTE,Corporate Flight Management,
,CJI,Corporate Jets,
SS,CRL,Corsairfly,
XK,CCM,Corse-Mediterranee,
F5,COZ,Cosmic Air,
,COT,Cottesmore Flying Training Unit,
,CHI,Cougar Helicopters,
,MGB,Coulson Flying Service,
,NSW,Country Connection Airlines,
,CIK,Country International Airlines,
,CSD,Courier Services,
,CUT,Court Helicopters,
,CVL,Coval Air,
,COW,Cowi,
7C,COY,Coyne Aviation,
,CFD,Cranfield University,
,CWL,Cranwell Flying Training Unit,
,CRE,Cree Airways,
,ELM,Crelam,
,CAN,Crest Aviation,
,CRH,CRI Helicopters Mexico,
,KRM,Crimea Universal Avia,
OU,CTN,Croatia Airlines,
,HRZ,Croatian Air Force,
,CRX,Cross Aviation,
QE,ECC,Crossair Europe,
,CWX,Crow Executive Air,
,CKR,Crown Air Systems,
,CRO,Crown Airways,
,CRW,Crownair,
,VCR,Cruiser Linhas Aéreas,
,CTY,Cryderman Air Service,
,CYT,Crystal Shamrock,
,IRO,CSA Air,
,CSE,CSE Aviation,
,CTQ,CTK Network Aviation,
CU,CUB,Cubana de Aviación,
,CBL,Cumberland Airways,
,CTT,Custom Air Transport,
,RGN,Cygnus Air,
,CYC,Cyprair Tours,
,CYS,Cypress Airlines,
CY,CYP,Cyprus Airways,
YK,KYV,Cyprus Turkish Airlines,
,CEF,Czech Air Force,
,AHD,Czech Air Handling,
OK,CSA,Czech Airlines,
,CIE,Czech Government Flying Service,
,DDA,D & D Aviation,
,DNK,D&K Aviation,
D3,DAO,Daallo Airlines,
N2,DAG,Dagestan Airlines,
,DHA,Dahla Airlines,
,DCS,Daimler Chrysler Aviation,
,DCX,Daimler-Chrysler,
,DKA,Daka,
,DLR,Dala Air Services,
H8,KHB,Dalavia,
,DXP,Dallas Express Airlines,
,DAS,Damascene Airways,
,DSA,Danbury Airways,
,DOP,Dancopter,
,DAF,Danish Air Force,
,DAR,Danish Army,
,DNY,Danish Navy,
,DNU,Danu Oro Transportas,
V5,VPA,DanubeWings,
,DHE,DAP Helicopteros,
,DRT,Darta,
0D,DWT,Darwin Airline,
WD,DSR,DAS Air Cargo,
,RKC,DAS Airlines,
,DSQ,Dasab Airlines,
,DSH,Dash Air Charter,
,GOB,Dash Aviation,
,DGX,Dasnair,
,DAB,Dassault Aviation,
,CVF,Dassault Falcon Jet,
,DSO,Dassault Falcon Service,
DX,DTR,DAT Danish Air Transport,
,ENT,DAT Enterprise Limited,
,DTN,Data International,
,XDT,Date Transformation Corp,
D5,DAU,Dauair,
,DCO,David Crawshaw Consultants Limited,
,DWN,Dawn Air,
,DAY,Daya Aviation,
,DJS,DayJet,
DI,BAG,Dba,
,DHC,De Havilland,
,IAY,Deadalos Flugtbetriebs,
,DAA,Decatur Aviation,
,DKN,Deccan Aviation,
,DLK,Deccan Aviation,
,DER,Deer Jet,
,JDC,Deere,
,DWR,Delaware Skyways,
,DEA,Delta Aerotaxi,
,SNO,Delta Air Charter,
,ELJ,Delta Air Elite,
DL,DAL,Delta Air Lines,
,KMB,Delta Engineering Aviation,
,DLI,Delta Express International,
,DSU,Delta State University,
J7,DNM,Denim Air,
,FEC,Denver Express,
,DJT,Denver Jet,
,FGC,Departmento De Agricultura De La Generalitat De Cataluna,
,BDN,DERA Boscombe Down,
,DRY,Deraya Air Taxi,
,DRX,Des R Cargo Express,
,MIZ,Desarrollo Milaz,
,DSN,DESNA,
,DTY,Destiny Air Services,
,DET,DETA Air,
2A,,Deutsche Bahn,
1I,AMB,Deutsche Rettungsflugwacht,
,LFO,Deutsches Zentrum fur Luft-und Raumfahrt EV,
,VLF,DFS UK Limited,
,DGO,DGO Jet,
,DAE,DHL Aero Expreso,
,DHK,DHL Air,
,DHV,DHL Aviation,
L3,JOS,DHL de Guatemala,
ES,DHX,DHL International,
,DIS,Di Air,
,SPK,Diamond Aviation,
,DRB,Didier Rousset Buy,
,DGT,Digital Equipment,
,DIP,Diplomatic Freight Services,
,ENA,Dirección General de Aviación Civil y Telecomunicasciones,
,DIA,Direct Air,
,XAP,Direct Air trading as Midway Connection,
,DCT,Direct Flight,
AW,DIR,Dirgantara Air Service,
,DCV,Discover Air,
DH,DVA,Discovery Airways,
,XDS,Dispatch Services,
,DIX,Dix Aviation,
,DEE,Dixie Airways,
D8,DJB,Djibouti Airlines,
,LFO,DLR,
,UDN,Dniproavia,
,FDN,Dolphin Air,
,IXX,Dolphin Express Airlines,
,DPL,Dome Petroleum,
,MYO,Dominguez Toledo,
,DVB,Don Avia,
,DON,Donair Flying Club,
D9,DNV,Donavia,
5D,UDC,DonbassAero,
,DAD,Dorado Air,
,DOR,Dornier,
,DAV,Dornier Aviation Nigeria,
,DOM,Dos Mundos,
KA,HDA,Dragonair,
,DCA,Dreamcatcher Airways,
KB,DRK,Druk Air,
,DRE,Drummond Island Air,
,RSK,DSWA,
,DUB,Dubai Airwing,
,DBK,Dubrovnik Air,
,DUK,Ducair,
,DBJ,Duchess of Britany,
,DUN,Dun'Air,
,PHD,Duncan Aviation,
,VVF,Dunyaya Bakis Hava Tasimaciligi,
,DUO,Duo Airways,
,DJE,Durango Jet,
,DNL,Dutch Antilles Express,
,DCE,Dutch Caribbean Express,
,DBR,Dutchbird,
,DFS,Dwyer Aircraft Services,
,XDY,Dynair Services,
,DNR,Dynamair Aviation,
,DYE,Dynamic Air,
,EHD,E H Darby Aviation,
,ICR,Eagle Aero,
EY,EFL,Eagle Air,
,EGR,Eagle Air,
H7,EGU,Eagle Air,
,FEI,Eagle Air,
,EAV,Eagle Airlines Luftverkehrsges,
NZ,EAG,Eagle Airways,
,GYP,Eagle Aviation,
,EGN,Eagle Aviation France,
,ABU,Eagle Aviation Services,
,TLO,Eagle Canyon Airlines,
,SEG,Eagle International,
,EGJ,Eagle Jet Charter,
,EMD,Eaglemed,
,ERX,Earth Airlines Services,
S9,HSA,East African Safari Air,
,EXZ,East African Safari Air Express,
,EMU,East Asia Airlines,
,ECT,East Coast Airways,
,ECJ,East Coast Jets,
,EHA,East Hampton Aire,
,EKC,East Kansas City Aviation,
,CTK,East Midlands Helicopters,
,DXH,East Star Airlines,
ZE,ESR,Eastar Jet,
,EAZ,Eastern Air,
,EAX,Eastern Air Executive,
T3,EZE,Eastern Airways,
QF,EAQ,Eastern Australia Airlines,
,ECI,Eastern Carolina Aviation,
,GNS,Eastern Executive Air Charter,
,LIS,Eastern Express,
,EME,Eastern Metro Express,
,EPB,Eastern Pacific Aviation,
,ESJ,Eastern Sky Jets,
DK,ELA,Eastland Air,
,FYE,Easy Link Aviation Services,
U2,EZY,easyJet,
,CMN,Eckles Aircraft,
,EJT,Eclipse Aviation,
,ECQ,Eco Air,
,DEI,Ecoair,
,ECX,Ecomex Air Cargo,
,ECD,Ecotour,
,XCC,Ecoturistica de Xcalak,
,ECV,Ecuatoguineana De Aviación,
,EQC,Ecuatorial Cargo,
,ECU,Ecuavia,
WK,EDW,Edelweiss Air,
,SLO,Edgartown Air,
,EDC,Edinburgh Air Charter,
,EDJ,Edwards Jet Center of Montana,
,EFS,EFAOS- Agencia De Viagens e Turismo,
,EIJ,Efata Papua Airlines,
,EFD,EFD Eisele Flugdienst,
,EUW,EFS European Flight Service,
,FSD,EFS-Flugservice,
MS,MSR,Egyptair,
,MSX,Egyptair Cargo,
,EGY,Egyptian Air Force,
,EJX,Egyptian Aviation,
,EIX,Ei Air Exports,
,EIR,Eirjet,
,EIS,EIS Aircraft,
LY,ELY,El Al Israel Airlines,
,CMX,El Caminante Taxi Aéreo,
,GLQ,El Quilada International Aviation,
,ELS,El Sal Air,
,ESC,El Sol De América,
UZ,BRQ,El-Buraq Air Transport,
,ELX,Elan Express,
,LBR,Elbe Air Transport,
,NLK,Elbrus-Avia Air Enterprise,
,DND,Eldinder Aviation,
1C,,Electronic Data Systems,
1Y,,Electronic Data Systems,
,PDV,Elicar,
,EDO,Elidolomiti,
,ELB,Elieuro,
,EFG,Elifriulia,
,ELH,Elilario Italia,
,EOA,Elilombarda,
,MEE,Elimediterranea,
,VUL,Elios,
,IEP,Elipiu',
,RSA,Elisra Airlines,
,EAI,Elite Air,
,EJD,Elite Jets,
,FGS,Elitellina,
,ELT,Elliott Aviation,
,MGG,Elmagal Aviation Services,
,ELR,Elrom Aviation and Investments,
,EAM,Embassy Airlines,
,EFT,Embassy Freight,
,XSL,Embry-Riddle Aeronautical University,
,JEM,Emerald Airways,
,EWW,Emery Worldwide Airlines,
,EMT,Emetebe,
EK,UAE,Emirates Airline,
,SBC,Emoyeni Air Charter,
,EMP,Empire Air Service,
EM,CFS,Empire Airlines,
,MPR,Empire Aviation Services,
,ETP,Empire Test Pilots' School,
,AUO,Empresa Aero Uruguay,
,PRG,Empresa Aero-Servicios Parrague,
,CRN,Empresa Aerocaribbean,
,VNA,Empresa Aviación Interamericana,
,EMB,Empresa Brasileira De Aeronáutica,
,GTV,Empresa de Aviación Aerogaviota,
EU,EEA,Empresa Ecuatoriana De Aviación,
,CNI,Empresa Nacional De Servicios Aéreos,
,VNE,Empresa Venezolana,
,XLT,Empressa Brasileira de Infra-Estrutura Aeroportuaria-Infraero,
,ENC,Endecots,
,ENI,Enimex,
G8,ENK,Enkor JSC,
,EGV,Enrique Gleisner Vivanco,
,ESE,Ensenada Vuelos Especiales,
OF,ENT,Enter Air,
,ENS,Entergy Services,
,EWS,Enterprise World Airways,
E0,ESS,Eos Airlines,
,IAG,EPAG,
,EKA,Equaflight Service,
,EQZ,Equatair Air Services,
,EQT,Equatorial Airlines,
,ERH,Era Helicopters,
,IRY,Eram Air,
,ERF,Erfoto,
,ERE,Erie Airways,
B8,ERT,Eritrean Airlines,
,EAD,Escola De Aviacao Aerocondor,
,CTV,Escuela De Pilotos Are Aviación,
,ESI,ESI Eliservizi Italiani,
,EPC,Espace Aviation Services,
,ERC,Esso Resources Canada,
E7,ESF,Estafeta Carga Aérea,
OV,ELL,Estonian Air,
,ETA,Estrellas Del Aire,
ET,ETH,Ethiopian Airlines,
,MJM,Eti 2000,
EY,ETD,Etihad Airways,
,ETM,Etram Air Wing,
,EUY,EU Airways,
,EVN,Euraviation,
,ECN,Euro Continental AIE,
RZ,,Euro Exec Express,
,ESN,Euro Sun,
,EAK,Euro-Asia Air,
,KZE,Euro-Asia Air International,
,EUP,Euroair,
,EUU,Euroamerican Air,
MM,MMZ,EuroAtlantic Airways,
,ECY,Euroceltic Airways,
,EUC,Eurocontrol,
,ECF,Eurocopter,
UI,ECA,Eurocypria Airlines,
GJ,EEZ,Eurofly,
,EEU,Eurofly Service,
,EUG,Euroguineana de Aviación,
,GOJ,EuroJet Aviation,
,ERJ,Eurojet Italia,
,JLN,Eurojet Limited,
,RDP,Eurojet Romania,
,EJS,Eurojet Servis,
K2,ELO,Eurolot,
3W,EMX,Euromanx Airways,
,GED,Europe Air Lines,
5O,FPO,Europe Airpost,
,EUT,European 2000 Airlines,
,EAG,European Aeronautical Group UK,
EA,EAL,European Air Express,
QY,BCS,European Air Transport,
E7,EAF,European Aviation Air Charter,
,EBJ,European Business Jets,
,ECB,European Coastal Airlines,
,ETV,European Executive,
,EXC,European Executive Express,
,EBG,Eurosense,
,ESX,Euroskylink,
EW,EWG,Eurowings,
BR,EVA,EVA Air,
E1,,Everbread,
EZ,EIA,Evergreen International Airlines,
,VTS,Everts Air Alaska/Everts Air Cargo,
,EMN,Examiner Training Agency,
JN,XLA,Excel Airways,
,XEL,Excel Charter,
,GZA,Excellent Air,
MB,EXA,Execair Aviation,
,VCN,Execujet Charter,
,EJO,Execujet Middle East,
,VMP,Execujet Scandinavia,
,LFL,Executive Air,
,EAC,Executive Air Charter,
,XAF,Executive Air Fleet,
,ECS,Executive Aircraft Charter and Charter Services,
,XAH,Executive Aircraft Services,
OW,EXK,Executive Airlines,
,EXU,Executive Airlines,
,EXW,Executive Airlines Services,
,JTR,Executive Aviation Services,
,EXE,Executive Flight,
,TRI,Executive Flight Operations Ontario Government,
,EXJ,Executive Jet Charter,
,EJM,Executive Jet Management,
,TEA,Executive Turbine Aviation,
,EXF,Eximflight,
,EXN,Exin,
,EXR,Expertos En Carga,
8D,EXV,Expo Aviation,
,AAE,Express Air,
,FXA,Express Air,
,EIC,Express International Cargo,
,XPL,Express Line Aircompany,
,XNA,Express Net Airlines,
,XTO,Express Tours,
XE,BTA,ExpressJet,
,JTM,Exxavia Limited,
,EYE,F.S. Air Service,
,FBA,Fab Air,
,FCS,Facts Air,
,IFA,FAI Air Service,
,FAV,Fair Aviation,
,FWD,Fair Wind Air Charter,
,FLS,Fairlines,
,FFC,Fairoaks Flight Centre,
,FWY,Fairways,
,FAR,Falcon Air,
,FCN,Falcon Air,
,FAO,Falcon Air Express,
,FAU,Falcon Airline,
IH,,Falcon Aviation,
,FVS,Falcon Aviation Services,
,FJC,Falcon Jet Centre,
,FAW,Falwell Aviation,
EF,EFA,Far Eastern Air Transport,
,FDL,Farmingdale State University,
,FAH,Farnair Hungary,
,FRN,Farnair Netherlands,
,FAT,Farnair Switzerland,
,RAF,Farnas Aviation Services,
,HBL,Faroecopter,
F6,RCK,Faroejet,
,FRW,Farwest Airlines,
F3,FSW,Faso Airways,
,FHL,Fast Helicopters,
,FAY,Fayban Air Services,
,SKM,Fayetteville Flying Service and Scheduled Skyways System,
,FDR,Federal Air,
,FLL,Federal Airlines,
,DCN,Federal Armed Forces,
,FRM,Federal Armored Service,
,NHK,Federal Aviation Administration,
FX,FDX,Federal Express,
,FNK,Feniks Airline,
,FER,Feria Aviación,
N8,HGK,Fika Salaama Airlines,
4S,FNC,Finalair Congo,
,FAK,Financial Airxpress,
,FBF,Fine Airlines,
,FLC,FINFO Flight Inspection Aircraft,
,FTR,Finist'air,
AY,FIN,Finnair,
FC,WBA,Finncomm Airlines,
,FNF,Finnish Air Force,
FY,FFM,Firefly,
7F,FAB,First Air,
,JRF,First Air Transport,
,FCC,First Cambodia Airlines,
DP,FCA,First Choice Airways,
,MBL,First City Air,
,GGA,First Flying Squadron,
,FIR,First Line Air,
,FTS,First Sabre,
8F,FFR,Fischer Air,
,FFP,Fischer Air Polska,
,FSX,Flagship Express Services,
,FLE,Flair Airlines,
,WAF,Flamenco Airways,
,FMR,Flamingo Air,
,FLN,Flamingo Air-Line,
,FSH,Flash Airlines,
,BWY,Fleet Requirements Air Direction Unit,
,FLR,Fleetair,
,FXY,Flexair,
,FXT,Flexflight,
,TUD,Flight Alaska,
,FCK,Flight Calibration Service,
,FCV,Flight Centre Victoria,
,FCP,Flight,
,FDP,Flight Dispatch Services,
,FLX,Flight Express,
,CFI,Flight Inspection Center of the General Administration of Civil Aviation in China,
,LTS,Flight Inspections and Systems,
,IVJ,Flight International,
,ACT,Flight Line,
,MIT,Flight Line,
,FOI,Flight Ops International,
,OPT,Flight Options,
,CLB,Flight Precision Limited,
,FSL,Flight Safety Limited,
,FSU,Flight Support Sweden,
,CCK,Flight Trac,
,AYR,Flight Training Europe,
,FWQ,Flight West Airlines,
,KLO,Flight-Ops International,
,CSK,Flightcraft,
,FEX,Flightexec,
,FPS,Flightpass Limited,
,FSR,Flightstar,
,FWK,Flightworks,
,KDZ,Flightworks,
,FAZ,Flint Aviation Services,
,FKI,FLM Aviation Mohrdieck,
,OJY,Florida Air,
PA,FCL,Florida Coastal Airlines,
,FFS,Florida Department of Agriculture,
,FJS,Florida Jet Service,
RF,FWL,Florida West International Airways,
,FLW,FLowair Aviation,
,DCM,FLTPLAN,
,FFG,Flugdienst Fehlhaber,
,FLU,Flugschule Basel,
,EZB,Flugschule Eichenberger,
,FWZ,Flugwerkzeuge Aviation Software,
F2,FLM,Fly Air,
,FCT,Fly CI Limited,
,FEE,Fly Europa Limited,
,FXL,Fly Excellent,
,NVJ,Fly International Airways,
,FIL,Fly Line,
SH,FLY,Fly Me Sweden,
,IAD,Fly Wex,
D7,XFA,FlyAsianXpress,
F7,BBO,Flybaboo,
BE,BEE,Flybe,
,FCE,Flycolumbia,
,FLO,Flycom,
FZ,FDB,Flydubai,
,GVG,Flygaktiebolaget Gota Vingar,
B4,GSM,Flyglobespan,
,FPA,Flygprestanda,
,ETS,Flygtransporter I Nykoping,
,INU,Flyguppdraget Backamo,
W3,FYH,Flyhy Cargo Airlines,
,FCR,Flying Carpet,
,FYG,Flying Service,
,FGP,Flying-Research Aerogeophysical Center,
,FLK,Flylink Express,
LF,NDC,FlyNordic,
,FTM,Flyteam Aviation,
,FMG,FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt,
,FKS,Focus Air,
,FOP,Fokker,
,NOF,Fonnafly,
,FAF,Force Aerienne Francaise,
,FOB,Ford Motor,
,FOR,Formula One Management,
,FHS,Forth and Clyde Helicopter Services,
,FXC,Fortunair Canada,
BN,,Forward Air International Airlines,
,FSA,Foster Aviation,
,JFY,Foster Yeoman,
,FTE,Fotografia F3,
,FIA,Four Island Air,
HK,FSC,Four Star Aviation / Four Star Cargo,
,WDS,Four Winds Aviation,
,FXR,Foxair,
,FRA,FR Aviation,
,FDO,France Douanes,
,FNY,France Marine Nationale,
FH,FHY,Freebird Airlines,
SJ,FOM,Freedom Air,
FP,FRE,Freedom Air,
,FFF,Freedom Air Services,
,FRL,Freedom Airlines,
,FAS,Freedom Airways,
,FWC,Freeway Air,
,FRG,Freight Runners Express,
,FRR,Fresh Air,
,FAE,Freshaer,
,FAL,Friendship Air Alaska,
,FLF,Friendship Airlines,
,FGY,Froggy Corporate Aviation,
F9,FFT,Frontier Airlines,
,ITR,Frontier Commuter,
2F,FTA,Frontier Flying Service,
,FNG,Frontier Guard,
,FSB,FSB Flugservice & Development,
,LEJ,FSH Luftfahrtunternehmen,
,FUJ,Fujairah Aviation Centre,
,CFJ,Fujian Airlines,
,GAX,Full Express,
,FAM,Fumigación Aérea Andaluza,
,FFY,Fun Flying Thai Air Service,
,ROG,FundaciÃ³ Rego,
,FUN,Funtshi Aviation Service,
,GML,G & L Aviation,
,EXH,G5 Executive,
,GAH,Ga-Ma Helicoptere,
,GBE,Gabon Express,
,GRT,Gabon-Air-Transport,
,GIG,Gacela Air Cargo,
,GFC,Gail Force Express,
,GNJ,Gain Jet Aviation,
,MTA,GAK/Mitchell Aero,
,SWF,Galair International,
,GLS,Galaircervis,
7O,GAL,Galaxy Air,
,GXY,Galaxy Airlines,
,GAS,Galena Air Service,
1G,,Galileo International,
,GMA,Gama Aviation,
GC,GNR,Gambia International Airlines,
,NML,Gambia New Millennium Air,
,GMJ,Gamisa Aviación,
G7,GNF,Gandalf Airlines,
,GAN,Gander Aviation,
,GSA,Garden State Airlines,
,AHM,Garrison Aviation,
GA,GIA,Garuda Indonesia,
,GHS,Gatari Hutama Air Services,
,GGS,GATSA,
,EGO,Gauteng Air Cargo,
,GVN,Gavina,
4G,GZP,Gazpromavia,
,GBX,GB Airlink,
GT,GBL,GB Airways,
,GCS,GCS Air Service,
,FFU,GEC Marconi Avionics,
,GCC,GECAS,
,GEE,Geesair,
GR,GCO,Gemini Air Cargo,
,GAB,Gendall Air,
,GDB,Gendarmerie Belge,
,FGN,Gendarmie Nationale,
,SWK,General Aerospace,
,GWS,General Airways,
,GNZ,General Aviation,
,GTH,General Aviation Flying Services,
,XGA,General Aviation Terminal,
,GMC,General Motors,
,GNX,Genex,
,GEN,GENSA,
,GSL,Geographic Air Surveys,
A9,TGZ,Georgian Airways,
,FGA,Georgian Aviation Federation,
,GGF,Georgian Cargo Airlines Africa,
QB,GFG,Georgian National Airlines,
,GAF,German Air Force,
,GAM,German Army,
,GNY,German Navy,
,GHY,German Sky Airlines,
ST,GMI,Germania,
4U,GWI,Germanwings,
,GDN,Gerry's Dnata,
,GFD,Gesellschaft Fur Flugzieldarstellung,
GP,GES,Gestair,
,GTR,Gestar,
,GJT,Gestión Aérea Ejecutiva,
,GET,GETRA,
,GFW,GFW Aviation,
,GHI,GH Stansted Limited,
,GHT,Ghadames Air Transport,
GH,GHA,Ghana Airways,
G0,GHB,Ghana International Airlines,
,NTC,Gibson Aviation,
,RPS,Global Air Charter,
,GAG,Global Air Operations,
,GBS,Global Air Services Nigeria,
,GLC,Global Aircargo,
,BSP,Global Airways,
,GLB,Global Airways,
,GAK,Global Aviation and Services Group,
,GBB,Global Aviation Operations,
,GGZ,Global Georgian Airways,
,GLJ,Global Jet Austria,
,NSM,Global Jet,
,SVW,Global Jet Luxembourg,
,GSK,Global Sky Aircharter,
,GSS,Global Supply Systems,
,XGS,Global System,
,XGW,Global Weather Dynamics,
,GLW,Global Wings,
,GJA,Globe Jet,
Z5,GMG,GMG Airlines,
GK,,Go One Airways,
G8,GOW,GoAir,
,GGE,Gobierno De Guinea Ecuatorial,
,GOF,Gof-Air,
,GOI,Gofir,
G7,GJS,GoJet Airlines,
G3,GLO,Gol Transportes Aéreos,
,GBT,Gold Belt Air Transport,
,GDA,GoldAir,
,GDK,Goldeck-Flug,
DC,GAO,Golden Air,
,GDD,Golden Airlines,
,GPA,Golden Pacific Airlines,
,GRS,Golden Rule Airlines,
,GLD,Golden Star Air Cargo,
,GOS,Goldfields Air Services,
,GAQ,Golfe Air Quebec,
,GLE,Goliaf Air,
,GOM,Gomel Airlines,
,RDR,Goodridge,
G1,,Gorkha Airlines,
,GOR,Gorlitsa Airlines,
,HKG,Government Flying Service,
,GRZ,Government of Zambia Communications Flight,
,GPE,GP Express Airlines,
,GPR,GPM Aeroservicio,
,GIB,GR-Avia,
,HLD,Grampian Flight Centre,
,GAV,Granada Aviación,
,GAE,Grand Aire Express,
,GND,Grand Airways,
,CVU,Grand Canyon Airlines,
GS,GUN,Grant Aviation,
,LMK,Grantex Aviation,
,GRA,Great American Airways,
,AFW,Great Barrier Airlines,
ZK,GLA,Great Lakes Airlines,
,GLU,Great Lakes Airways Uganda,
,GRP,Great Plains Airlines,
IJ,GWL,Great Wall Airlines,
,GWA,Great Western Air,
,HNA,Greek Navy,
,GFF,Griffin Aviation,
,GXA,Grixona,
,GZD,Grizodubova Air,
,HTG,Grossmann Air Service,
,GSJ,Grossmann Jet Service,
,GHV,Ground Handling Service de Mexico,
,GPM,Grup Air-Med,
,EJC,Grupo De Aviación Ejecutiva,
,TAT,Grupo TACA,
,VMM,Grupo Vuelos Mediterraneo,
,GMT,Grupoaéreo Monterrey,
,BMK,GST Aero Aircompany,
,GTX,GTA Air,
,GSY,Guard Systems,
G6,BSR,Guine Bissaur Airlines,
,GIJ,Guinea Airways,
,GNC,Guinea Cargo,
,GEA,Guinea Ecuatorial Airlines,
,GIQ,Guinee Paramount Airlines,
,CGH,Guizhou Airlines,
,GUS,Guja,
G8,GUJ,Gujarat Airways,
,TSU,Gulf & Caribbean Cargo / Contract Air Cargo,
,GUF,Gulf African Airlines,
,GFA,Gulf Air,
GF,GBA,Gulf Air Bahrain,
,GAT,Gulf Air,
,GCN,Gulf Central Airlines,
,SFY,Gulf Flite Center,
,GPC,Gulf Pearl Air Lines,
,GLF,Gulfstream Aerospace,
,GFS,Gulfstream Airlines,
,GFT,Gulfstream International Airlines,
,GUL,Gull Air,
,GUM,Gum Air,
,GDH,Guneydogu Havacilik Isletmesi,
GY,,Guyana Airways 2000,
,GWN,Gwyn Aviation,
,FMS,Hadison Aviation,
H6,HAG,Hageland Aviation Services,
,POW,Hagondale Limited,
HR,HHN,Hahn Air,
HU,CHH,Hainan Airlines,
1R,,Hainan Phoenix Information Systems,
,HLS,Haiti Air Freight,
2T,HAM,Haiti Ambassador Airlines,
,HTI,Haiti International Air,
,HRB,Haiti International Airline,
,HNR,Haiti National Airlines,
,HTN,Haiti North Airline,
,HTC,Haiti Trans Air,
,HBC,Haitian Aviation Line,
,HAJ,Hajvairy Airlines,
,HKL,Hak Air,
,HLH,Hala Air,
,HCV,Halcyonair,
4R,HHI,Hamburg International,
,HJL,Hamlin Jet,
,HMM,Hamra Air,
,WVA,Hand D Aviation,
,HGR,Hangar 8,
,HGD,Hangard Aviation,
,HAN,Hansung Airlines,
X3,HLX,Hapag-Lloyd Express,
HF,HLF,Hapagfly,
HB,HAR,Harbor Airlines,
HQ,HMY,Harmony Airways,
,NBR,Haughey Air,
,PYN,Haverfordwest Air Charter Services,
,HAV,Havilah Air Services,
HA,HAL,Hawaiian Airlines,
,HKR,Hawk Air,
,HMX,Hawk De Mexico,
BH,,Hawkair,
,HKI,Hawkaire,
,HKB,Hawker Beechcraft,
,HLA,HC Airlines,
HN,HVY,Heavylift Cargo Airlines,
,HVL,Heavylift International,
,HDC,Helcopteros De Cataluna,
,HCB,Helenair Barbados,
,HCL,Helenair,
,HHP,Helenia Helicopter Service,
,HLR,Heli Air Services,
,ALJ,Heli Ambulance Team,
,HEB,Heli Bernina,
8H,HFR,Heli France,
,HYH,Heli Hungary,
,HLM,Heli Medwest De Mexico,
,HLI,Heli Securite,
H4,,Héli Sécurité Helicopter Airlines,
,HTP,Heli Trip,
,HLU,Heli Union Heli Prestations,
,MCM,Heli-Air-Monaco,
,HHE,Heli-Holland,
