0A,GNT,Amber Air,GINTA,Lithuania,,
8O,YWZ,West Coast Air,COAST AIR,Canada,,
8P,PCO,Pacific Coastal Airline,PASCO,Canada,,
8Q,BAJ,Baker Aviation,BAKER AVIATION,United States,,
8R,TIB,TRIP Linhas Aéreas,TRIP,Brazil,,
8T,TID,Air Tindi,,Canada,,
8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya,,
8V,WRF,Wright Air Service,WRIGHT FLYER,United States,,
8W,PWF,Private Wings Flugcharter,PRIVATE WINGS,Germany,,
8Y,CYZ,China Postal Airlines,CHINA POST,China,,
9C,CQH,Spring Airlines,AIR SPRING,China,,
9E,FLG,Pinnacle Airlines,FLAGSHIP,United States,,
9I,TKY,Thai Sky Airlines,THAI SKY,Thailand,,
9K,KAP,Cape Air,CAIR,United States,,
9L,CJC,Colgan Air,COLGAN,United States,,
9Q,PBA,PB Air,PEEBEE AIR,Thailand,,
9R,VAP,Phuket Air,PHUKET AIR,Thailand,,
9T,ABS,Transwest Air,ATHABASKA,Canada,,
9U,MLD,Air Moldova,AIR MOLDOVA,Moldova,,
9W,JAI,Jet Airways,JET AIRWAYS,India,,
A2,CIU,Cielos Airlines,CIELOS,Peru,,
A3,AEE,Aegean Airlines,AEGEAN,Greece,,
A4,SWD,Southern Winds Airlines,SOUTHERN WINDS,Argentina,,
A5,RLA,Airlinair,AIRLINAIR,France,,
A6,LPV,Air Alps Aviation,ALPAV,Austria,,
A7,MPD,Air Plus Comet,RED COMET,Spain,,
A8,BGL,Benin Golf Air,BENIN GOLF,Benin,,
A9,TGZ,Georgian Airways,TAMAZI,Georgia,,
AA,AAL,American Airlines,AMERICAN,United States,,
AB,BER,Air Berlin,AIR BERLIN,Germany,,
AC,ACA,Air Canada,AIR CANADA,Canada,,
AD,AZU,Azul Linhas Aéreas Brasileiras,Azul,Brazil,,
AE,MDA,Mandarin Airlines,MANDARIN,Taiwan,,
AF,AFR,Air France,AIRFRANS,France,,
AH,DAH,Air Algérie,AIR ALGERIE,Algeria,,
AI,AIC,Air India Limited,AIRINDIA,India,,
AJ,NIG,Aero Contractors,AEROLINE,Nigeria,,
AK,AXM,AirAsia,ASIAN EXPRESS,Malaysia,,
AL,SYX,Skywalk Airlines,SKYWAY-EX,United States,,
AM,AMX,Aeroméxico,AEROMEXICO,Mexico,,
AO,AUZ,Australian Airlines,AUSTRALIAN,Australia,,
AP,AIB,Airbus Industrie,AIRBUS INDUSTRIE,France,,
AQ,AAH,Aloha Air Cargo,ALOHA,United States,,
AR,ARG,Aerolíneas Argentinas,ARGENTINA,Argentina,,
AS,ASA,"Alaska Airlines, Inc.",ALASKA,United States,,
AT,RAM,Royal Air Maroc,ROYALAIR MAROC,Morocco,,
AU,AUT,Austral Líneas Aéreas,AUSTRAL,Argentina,,
AV,AVA,"Avianca - Aerovías Nacionales de Colombia, S.A.",AVIANCA,Colombia,,
AW,AFW,Africa World Airlines,BLACKSTAR,Ghana,,
AX,LOF,Trans States Airlines,WATERSKI,United States,,
AY,FIN,Finnair,FINNAIR,Finland,,
AZ,AZA,Alitalia,ALITALIA,Italy,,
B2,BRU,Belavia Belarusian Airlines,BELARUS AVIA,Belarus,,
B3,BLV,Bellview Airlines,BELLVIEW AIRLINES,Nigeria,,
B4,BKA,Bankair,BANKAIR,United States,,
B6,JBU,JetBlue Airways,JETBLUE,United States,,
B8,ERT,Eritrean Airlines,ERITREAN,Eritrea,,
B9,BGD,Air Bangladesh,AIR BANGLA,Bangladesh,,
BA,BAW,British Airways,SPEEDBIRD,United Kingdom,,
BB,SBS,Seaborne Airlines,SEABORNE,United States,,
BC,SKY,Skymark Airlines,SKYMARK,Japan,,
BD,BMA,BMI,MIDLAND,United Kingdom,,
BE,BEE,Flybe,JERSEY,United Kingdom,,
BF,BBD,Bluebird Cargo,BLUE CARGO,Iceland,,
BG,BBC,Biman Bangladesh Airlines,BANGLADESH,Bangladesh,,
BI,RBA,Royal Brunei Airlines,BRUNEI,Brunei,,
BJ,LBT,Nouvel Air Tunisie,NOUVELAIR,Tunisia,,
BK,PDC,Potomac Air,DISTRICT,United States,,
BL,PIC,Pacific Airlines,PACIFIC AIRLINES,Vietnam,,
BM,BYE,Bayu Indonesia Air,BAYU,Indonesia,,
BN,HZA,Horizon Airlines,HORIZON,Australia,,
BO,BOU,Bouraq Indonesia Airlines,BOURAQ,Indonesia,,
BP,BOT,Air Botswana,BOTSWANA,Botswana,,
BR,EVA,EVA Air,EVA,Taiwan,,
BS,BIH,British International Helicopters,BRINTEL,United Kingdom,,
BT,BTI,Air Baltic,AIRBALTIC,Latvia,,
BV,BPA,Blue Panorama Airlines,BLUE PANOROMA,Italy,,
BW,BWA,Caribbean Airlines,CARIBBEAN,Trinidad and Tobago,,
BX,ABL,Air Busan,,Republic of Korea,,
BY,TOM,Thomson Airways,TOMSON,United Kingdom,,
BZ,KEE,Keystone Air Service,KEYSTONE,Canada,,
C0,CLW,Centralwings,CENTRALWINGS,Poland,,
C3,IPR,Independent Carrier (ICAR),ICAR,Ukraine,,
C4,IMX,Zimex Aviation,ZIMEX,Switzerland,,
C5,UCA,CommutAir,COMMUTAIR,United States,,
C6,CJA,CanJet,CANJET,Canada,,
C7,RLE,Rico Linhas Aéreas,RICO,Brazil,,
C8,ICV,Cargolux Italia,CARGO MED,Italy,,
C9,RUS,Cirrus Airlines,CIRRUS AIR,Germany,,
CA,CCA,Air China,AIR CHINA,China,,
CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland,,
CD,LLR,Alliance Air,ALLIED,India,,
CE,NTW,Nationwide Airlines,NATIONWIDE,South Africa,,
CF,SDR,City Airline,SWEDESTAR,Sweden,,
CG,TOK,Airlines PNG,BALUS,Papua New Guinea,,
CH,BMJ,Bemidji Airlines,BEMIDJI,United States,,
CI,CAL,China Airlines,DYNASTY,Taiwan,,
CJ,CFE,CityFlyer Express,FLYER,United Kingdom,,
CK,CKK,China Cargo Airlines,CARGO KING,China,,
CL,CLH,Lufthansa CityLine,HANSALINE,Germany,,
CM,CMP,Copa Airlines,COPA,Panama,,
CN,WWD,Westward Airways,WESTWARD,United States,,
CO,COA,Continental Airlines,CONTINENTAL,United States,,
CP,CPZ,Compass Airlines,Compass Rose,United States,,
CQ,EXL,Sunshine Express Airlines,,Australia,,
CR,ABC,OAG,,United Kingdom,,
CS,CMI,Continental Micronesia,AIR MIKE,United States,,
CU,CUB,Cubana de Aviación,CUBANA,Cuba,,
CV,CLX,Cargolux,CARGOLUX,Luxembourg,,
CW,CWM,Air Marshall Islands,AIR MARSHALLS,Marshall Islands,,
CX,CPA,Cathay Pacific,CATHAY,Hong Kong SAR of China,,
CY,CYP,Cyprus Airways,CYPRUS,Cyprus,,
CZ,CSN,China Southern Airlines,CHINA SOUTHERN,China,,
D3,DAO,Daallo Airlines,DALO AIRLINES,Djibouti,,
D4,LID,Alidaunia,ALIDA,Italy,,
D5,DAU,Dauair,DAUAIR,Germany,,
D6,ILN,Interair South Africa,INLINE,South Africa,,
D7,XAX,AirAsia X,XANADU,Malaysia,,
D8,DJB,Djibouti Airlines,DJIBOUTI AIR,Djibouti,,
D9,DNV,Donavia,DONAVIA,Russia,,
DA,GRG,Air Georgia,AIR GEORGIA,Georgia,,
DB,BZH,Brit Air,BRITAIR,France,,
DC,GAO,Golden Air,GOLDEN,Sweden,,
DD,NOK,Nok Air,NOK AIR,Thailand,,
DE,CFG,Condor Flugdienst,CONDOR,Germany,,
DG,SRQ,South East Asian Airlines,SEAIR,Philippines,,
DH,DVA,Discovery Airways,DISCOVERY AIRWAYS,United States,,
DI,BAG,Dba,SPEEDWAY,Germany,,
DJ,VOZ,Virgin Australia,VIRGIN,Australia,,
DK,ELA,Eastland Air,,Australia,,
DL,DAL,Delta Air Lines,DELTA,United States,,
DP,FCA,First Choice Airways,JETSET,United Kingdom,,
DR,BIE,Air Mediterranee,MEDITERRANEE,France,,
DT,DTA,TAAG Angola Airlines,DTA,Angola,,
DU,HMS,Hemus Air,HEMUS AIR,Bulgaria,,
DV,ACK,Nantucket Airlines,ACK AIR,United States,,
DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine,,
DX,DTR,DAT Danish Air Transport,DANISH,Denmark,,
DY,NAX,Norwegian Air Shuttle,NOR SHUTTLE,Norway,,
E0,ESS,Eos Airlines,NEW DAWN,United States,,
E2,KMP,Kampuchea Airlines,KAMPUCHEA,Cambodia,,
E4,RSO,Aero Asia International,AERO ASIA,Pakistan,,
E7,EAF,European Aviation Air Charter,EUROCHARTER,United Kingdom,,
E8,ELG,Alpi Eagles,ALPI EAGLES,Italy,,
E9,CXS,Boston-Maine Airways,CLIPPER CONNECTION,United States,,
EA,EAL,European Air Express,STAR WING,Germany,,
EC,TWN,Avialeasing Aviation Company,TWINARROW,Uzbekistan,,
ED,ABQ,Airblue,PAKBLUE,Pakistan,,
EF,EFA,Far Eastern Air Transport,Far Eastern,Taiwan,,
EG,JAA,Japan Asia Airways,ASIA,Japan,,
EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan,,
EI,EIN,Aer Lingus,SHAMROCK,Ireland,,
EJ,NEA,New England Airlines,NEW ENGLAND,United States,,
EK,UAE,Emirates Airline,EMIRATES,United Arab Emirates,,
EL,ANK,Air Nippon,ANK AIR,Japan,,
EM,CFS,Empire Airlines,EMPIRE AIR,United States,,
EN,DLA,Air Dolomiti,DOLOMITI,Italy,,
EO,ALX,Hewa Bora Airways,ALLCONGO,Democratic Republic of the Congo,,
EP,IRC,Iran Aseman Airlines,ASEMAN,Iran,,
EQ,TAE,TAME,TAME,Ecuador,,
ER,DHL,Astar Air Cargo,D-H-L,United States,,
ES,DHX,DHL International,DILMUN,Bahrain,,
ET,ETH,Ethiopian Airlines,ETHIOPIAN,Ethiopia,,
EU,EEA,Empresa Ecuatoriana De Aviación,ECUATORIANA,Ecuador,,
EV,ASQ,Atlantic Southeast Airlines,ACEY,United States,,
EW,EWG,Eurowings,EUROWINGS,Germany,,
EX,SDO,Air Santo Domingo,AERO DOMINGO,Dominican Republic,,
EY,EFL,Eagle Air,FLYING EAGLE,Tanzania,,
EZ,EIA,Evergreen International Airlines,EVERGREEN,United States,,
F2,FLM,Fly Air,FLY WORLD,Turkey,,
F3,FSW,Faso Airways,FASO,Burkina Faso,,
F4,NBK,Albarka Air,AL-AIR,Nigeria,,
F5,COZ,Cosmic Air,COSMIC AIR,Nepal,,
F6,RCK,Faroejet,ROCKROSE,Faroe Islands,,
F7,BBO,Flybaboo,BABOO,Switzerland,,
F9,FFT,Frontier Airlines,FRONTIER FLIGHT,United States,,
FA,SFR,Safair,CARGO,South Africa,,
FB,LZB,Bulgaria Air,FLYING BULGARIA,Bulgaria,,
FC,WBA,Finncomm Airlines,WESTBIRD,Finland,,
FD,AIQ,Thai AirAsia,THAI ASIA,Thailand,,
FE,WCP,Primaris Airlines,WHITECAP,United States,,
FG,AFG,Ariana Afghan Airlines,ARIANA,Afghanistan,,
FH,FHY,Freebird Airlines,FREEBIRD AIR,Turkey,,
FI,ICE,Icelandair,ICEAIR,Iceland,,
FJ,FJI,Air Pacific,PACIFIC,Fiji,,
FK,WTA,Africa West,WEST TOGO,Togo,,
FL,TRS,AirTran Airways,CITRUS,United States,,
FM,CSH,Shanghai Airlines,SHANGHAI AIR,China,,
FN,RGL,Regional Air Lines,MAROC REGIONAL,Morocco,,
FO,ATM,Airlines of Tasmania,AIRTAS,Australia,,
FP,FRE,Freedom Air,FREEDOM,United States,,
FQ,TCW,Thomas Cook Airlines,THOMAS COOK,Belgium,,
FR,RYR,Ryanair,RYANAIR,Ireland,,
FS,ACL,Itali Airlines,SPADA,Italy,,
FT,SRH,Siem Reap Airways,SIEMREAP AIR,Cambodia,,
FV,SDM,Rossiya,RUSSIA,Russia,,
FW,IBX,Ibex Airlines,IBEX,Japan,,
FX,FDX,Federal Express,FEDEX,United States,,
FY,FFM,Firefly,FIREFLY,Malaysia,,
FZ,FDB,Flydubai,SKYDUBAI,UAE,,
G0,GHB,Ghana International Airlines,GHANA AIRLINES,Ghana,,
G2,VXG,Avirex,AVIREX-GABON,Gabon,,
G3,GLO,Gol Transportes Aéreos,GOL TRANSPORTE,Brazil,,
G4,AAY,Allegiant Air,ALLEGIANT,United States,,
G5,HXA,China Express Airlines,CHINA EXPRESS,China,,
G6,BSR,Guine Bissaur Airlines,BISSAU AIRLINES,Guinea-Bissau,,
G7,GJS,GoJet Airlines,LINDBERGH,United States,,
G8,GUJ,Gujarat Airways,GUJARATAIR,India,,
G9,ABY,Air Arabia,ARABIA,United Arab Emirates,,
GA,GIA,Garuda Indonesia,INDONESIA,Indonesia,,
GB,ABX,ABX Air,ABEX,United States,,
GC,GNR,Gambia International Airlines,GAMBIA INTERNATIONAL,Gambia,,
GD,AHA,Air Alpha Greenland,AIR ALPHA,Denmark,,
GE,TNA,TransAsia Airways,TransAsia,Taiwan,,
GF,GBA,Gulf Air Bahrain,GULF BAHRAIN,Bahrain,,
GG,GUY,Air Guyane,GREEN BIRD,French Guiana,,
GH,GHA,Ghana Airways,GHANA,Ghana,,
GI,IKA,Itek Air,ITEK-AIR,Kyrgyzstan,,
GJ,MXC,Compania Mexicargo,MEXICARGO,Mexico,,
GL,BSK,Miami Air International,BISCAYNE,United States,,
GM,SVK,Air Slovakia,SLOVAKIA,Slovakia,,
GO,KZU,Kuzu Airlines Cargo,KUZU CARGO,Turkey,,
GP,GES,Gestair,GESTAIR,Spain,,
GQ,BSY,Big Sky Airlines,BIG SKY,United States,,
GR,GCO,Gemini Air Cargo,GEMINI,United States,,
GS,GUN,Grant Aviation,HOOT,United States,,
GT,GBL,GB Airways,GEEBEE AIRWAYS,United Kingdom,,
GW,KIL,Kuban Airlines,AIR KUBAN,Russia,,
GX,JXX,JetX Airlines,JETBIRD,Iceland,,
GY,TMG,Tri-MG Intra Asia Airlines,TRILINES,Indonesia,,
GZ,RAR,Air Rarotonga,AIR RAROTONGA,Cook Islands,,
H2,SKU,Sky Airline,AEROSKY,Chile,,
H4,IIN,Inter Islands Airlines,,Cape Verde,,
H5,HOA,Hola Airlines,HOLA,Spain,,
H6,HAG,Hageland Aviation Services,HAGELAND,United States,,
H7,EGU,Eagle Air,AFRICAN EAGLE,Uganda,,
H8,KHB,Dalavia,DALAVIA,Russia,,
H9,PGT,Pegasus Airlines,SUNTURK,Turkey,,
HA,HAL,Hawaiian Airlines,HAWAIIAN,United States,,
HB,HAR,Harbor Airlines,HARBOR,United States,,
HC,ATI,Aero-Tropics Air Services,,Australia,,
HD,ADO,Hokkaido International Airlines,AIR DO,Japan,,
HE,LGW,Luftfahrtgesellschaft Walter,WALTER,Germany,,
HF,HLF,Hapagfly,HAPAG LLOYD,Germany,,
HG,NLY,Niki,FLYNIKI,Austria,,
HJ,AXF,Asian Express Airlines,FREIGHTEXPRESS,Australia,,
HK,FSC,Four Star Aviation / Four Star Cargo,FOUR STAR,United States,,
HM,SEY,Air Seychelles,SEYCHELLES,Seychelles,,
HN,HVY,Heavylift Cargo Airlines,HEAVY CARGO,Australia,,
HO,DJA,Antinea Airlines,ANTINEA,Algeria,,
HP,AWE,America West Airlines,CACTUS,United States,,
HQ,HMY,Harmony Airways,HARMONY,Canada,,
HR,HHN,Hahn Air,ROOSTER,Germany,,
HU,CHH,Hainan Airlines,HAINAN,China,,
HV,TRA,Transavia Holland,TRANSAVIA,Netherlands,,
HW,NWL,North-Wright Airways,NORTHWRIGHT,Canada,,
HX,CRK,Hong Kong Airlines,BAUHINIA,Hong Kong SAR of China,,
HY,UZB,Uzbekistan Airways,UZBEK,Uzbekistan,,
HZ,SOZ,Sat Airlines,SATCO,Kazakhstan,,
I4,FWA,Interstate Airlines,FREEWAYAIR,Netherlands,,
I6,SEQ,Sky Eyes,SKY EYES,Thailand,,
I7,PMW,Paramount Airways,PARAWAY,India,,
I9,IBU,Indigo,INDIGO BLUE,United States,,
IA,IAW,Iraqi Airways,IRAQI,Iraq,,
IB,IBE,Iberia Airlines,IBERIA,Spain,,
IC,IAC,Indian Airlines,INDAIR,India,,
ID,ITK,Interlink Airlines,INTERLINK,South Africa,,
IE,SOL,Solomon Airlines,SOLOMON,Solomon Islands,,
IF,ISW,Islas Airways,PINTADERA,Spain,,
IG,ISS,Meridiana,MERAIR,Italy,,
IH,MZA,Irtysh Air,IRTYSH AIRLINES,Kazakhstan,,
II,CSQ,IBC Airways,CHASQUI,United States,,
IJ,GWL,Great Wall Airlines,GREAT WALL,China,,
IK,LKN,Lankair,Lankair,Sri Lanka,,
IM,MNJ,Menajet,MENAJET,Lebanon,,
IN,MAK,MAT Macedonian Airlines,MAKAVIO,Macedonia,,
IO,IAA,Indonesian Airlines,INDO LINES,Indonesia,,
IP,JOL,Atyrau Air Ways,EDIL,Kazakhstan,,
IQ,AUB,Augsburg Airways,AUGSBURG-AIR,Germany,,
IR,IRA,Iran Air,IRANAIR,Iran,,
IT,KFR,Kingfisher Airlines,KINGFISHER,India,,
IV,JET,Wind Jet,GHIBLI,Italy,,
IX,AXB,Air India Express,EXPRESS INDIA,India,,
IY,IYE,Yemenia,YEMENI,Yemen,,
IZ,AIZ,Arkia Israel Airlines,ARKIA,Israel,,
J2,AHY,Azerbaijan Airlines,AZAL,Azerbaijan,,
J3,PLR,Northwestern Air,POLARIS,Canada,,
J4,BFL,Buffalo Airways,BUFFALO,Canada,,
J6,AOC,AVCOM,AERO AVCOM,Russia,,
J7,DNM,Denim Air,DENIM,Netherlands,,
J8,BVT,Berjaya Air,BERJAYA,Malaysia,,
J9,JZR,Jazeera Airways,JAZEERA,Kuwait,,
JA,BON,Air Bosna,AIR BOSNA,Bosnia and Herzegovina,,
JB,JBA,Helijet,HELIJET,Canada,,
JC,JEX,JAL Express,JANEX,Japan,,
JE,MNO,Mango,TULCA,South Africa,,
JF,LAB,L.A.B. Flying Service,LAB,United States,,
JH,NES,Nordeste Linhas Aéreas Regionais,NORDESTE,Brazil,,
JJ,TAM,TAM Brazilian Airlines,TAM,Brazil,,
JL,JAL,Japan Airlines,JAPANAIR,Japan,,
JM,AJM,Air Jamaica,JAMAICA,Jamaica,,
JN,XLA,Excel Airways,EXPO,United Kingdom,,
JO,JAZ,JALways,JALWAYS,Japan,,
JP,ADR,Adria Airways,ADRIA,Slovenia,,
JQ,JST,Jetstar Airways,JETSTAR,Australia,,
JR,SER,Aero California,AEROCALIFORNIA,Mexico,,
JS,KOR,Air Koryo,AIR KORYO,Democratic People's Republic of Korea,,
JT,LNI,Lion Mentari Airlines,LION INTER,Indonesia,,
JU,JAT,Jat Airways,JAT,Serbia,,
JV,BLS,Bearskin Lake Air Service,BEARSKIN,Canada,,
JW,APW,Arrow Air,BIG A,United States,,
JX,JEC,Jett8 Airlines Cargo,,Singapore,,
JY,TCI,Air Turks and Caicos,KERRMONT,Turks and Caicos Islands,,
JZ,SKX,Avia Express,SKY EXPRESS,Sweden,,
K2,ELO,Eurolot,EUROLOT,Poland,,
K4,CKS,Kalitta Air,CONNIE,United States,,
K5,WAK,Wings of Alaska,WINGS ALASKA,United States,,
K6,BRV,Bravo Air Congo,BRAVO,Democratic Republic of the Congo,,
K8,ZAK,Airlink Zambia,,Zambia,,
K9,KFS,Kalitta Charters,KALITTA,United States,,
KA,HDA,"Dragonair, Hong Kong Dragon Airlines",DRAGON,Hong Kong,,
KB,DRK,Druk Air,ROYAL BHUTAN,Bhutan,,
KC,KZR,Air Astana,ASTANALINE,Kazakhstan,,
KD,KNI,KD Avia,KALININGRAD AIR,Russia,,
KE,KAL,Korean Air,KOREANAIR,Republic of Korea,,
KF,BLF,Blue1,BLUEFIN,Finland,,
KG,BNX,LAI - Línea Aérea IAACA,AIR BARINAS,Venezuela,,
KI,AAG,Air Atlantique,ATLANTIC,United Kingdom,,
KJ,LAJ,British Mediterranean Airways,BEE MED,United Kingdom,,
KK,KKK,Atlasjet,ATLASJET,Turkey,,
KL,KLM,KLM,KLM,Netherlands,,
KM,AMC,Air Malta,AIR MALTA,Malta,,
KN,CUA,China United Airlines,LIANHANG,China,,
KO,AER,Alaska Central Express,ACE AIR,United States,,
KP,KIA,Kiwi International Air Lines,KIWI AIR,United States,,
KQ,KQA,Kenya Airways,KENYA,Kenya,,
KR,CWK,Comores Airlines,CONTICOM,Comoros,,
KS,PEN,Peninsula Airways,PENINSULA,United States,,
KU,KAC,Kuwait Airways,KUWAITI,Kuwait,,
KV,MVD,Kavminvodyavia,AIR MINVODY,Russia,,
KW,WAN,Wataniya Airways,WATANIYA,Kuwait,,
KX,CAY,Cayman Airways,CAYMAN,Cayman Islands,,
KY,KYV,Kibris Türk Hava,AIRKIBRIS,Turkey,,
KZ,NCA,Nippon Cargo Airlines,NIPPON CARGO,Japan,,
L2,LYC,Lynden Air Cargo,LYNDEN,United States,,
L3,JOS,DHL de Guatemala,,Guatemala,,
L3,LTO,LTU Austria,BILLA TRANSPORT,Austria,,
L4,SSX,Lynx Aviation,SHASTA,United States,,
L5,LTR,Lufttransport,LUFT TRANSPORT,Norway,,
L6,VNZ,Tbilaviamsheni,TBILAVIA,Georgia,,
L7,LPN,Laoag International Airlines,LAOAG AIR,Philippines,,
L8,LXG,Air Luxor GB,LUXOR GOLF,Guinea-Bissau,,
L9,BTZ,Bristow U.S. LLC,BRISTOW,United States,,
