key,iata_code,name,city,country,latitude,longitude,altitude,timezone_offset,dst
MMHC,TCN,Tehuacan,Tehuacan,Mexico,18.497189,-97.419942,5509,-6,S
MMHO,HMO,General Ignacio P Garcia Intl,Hermosillo,Mexico,29.095858,-111.047858,627,-7,S
MMIA,CLQ,Colima,Colima,Mexico,19.277011,-103.577397,2467,-6,S
MMIM,ISJ,Isla Mujeres,Isla Mujeres,Mexico,21.245033,-86.739967,7,-6,S
MMIO,SLW,Plan De Guadalupe Intl,Saltillo,Mexico,25.549497,-100.928669,4778,-6,S
MMJA,JAL,Lencero Airport,Jalapa,Mexico,19.475083,-96.797506,3127,-6,S
MMLC,LZC,Lazaro Cardenas,Lazard Cardenas,Mexico,18.001731,-102.220525,39,-6,S
MMLM,LMM,Valle Del Fuerte Intl,Los Mochis,Mexico,25.685194,-109.080806,16,-7,S
MMLO,BJX,Guanajuato Intl,Del Bajio,Mexico,20.993464,-101.480847,5956,-6,S
MMLP,LAP,General Manuel Marquez De Leon Intl,La Paz,Mexico,24.072694,-110.362475,69,-7,S
MMLT,LTO,Loreto Intl,Loreto,Mexico,25.989194,-111.348361,34,-7,S
MMMA,MAM,General Servando Canales Intl,Matamoros,Mexico,25.769894,-97.525311,25,-6,S
MMMD,MID,Licenciado Manuel Crescencio Rejon Int,Merida,Mexico,20.936981,-89.657672,38,-6,S
MMML,MXL,General Rodolfo Sanchez Taboada Intl,Mexicali,Mexico,32.630634,-115.241637,74,-8,S
MMMM,MLM,General Francisco J Mujica Intl,Morelia,Mexico,19.849944,-101.0255,6033,-6,S
MMMT,MTT,Minatitlan,Minatitlan,Mexico,18.103419,-94.580681,36,-6,S
MMMV,LOV,Monclova Intl,Monclova,Mexico,26.955733,-101.470136,1864,-6,S
MMMX,MEX,Licenciado Benito Juarez Intl,Mexico City,Mexico,19.436303,-99.072097,7316,-6,S
MMMY,MTY,General Mariano Escobedo Intl,Monterrey,Mexico,25.778489,-100.106878,1278,-6,S
MMMZ,MZT,General Rafael Buelna Intl,Mazatlan,Mexico,23.161356,-106.266072,38,-7,S
MMNG,NOG,Nogales Intl,Nogales,Mexico,31.226083,-110.975831,3990,-7,S
MMNL,NLD,Quetzalcoatl Intl,Nuevo Laredo,Mexico,27.443918,-99.57046,484,-6,S
MMOX,OAX,Xoxocotlan Intl,Oaxaca,Mexico,16.999906,-96.726639,4989,-6,S
MMPA,PAZ,Tajin,Poza Rico,Mexico,20.602671,-97.460839,497,-6,S
MMPB,PBC,Hermanos Serdan Intl,Puebla,Mexico,19.158144,-98.371447,7361,-6,S
MMPC,PCA,Ingeniero Juan Guillermo Villasana,Pachuca,Mexico,20.0772,-98.782814,7600,-6,S
MMPE,PPE,Puerto Penasco,Punta Penasco,Mexico,31.351878,-113.525728,30,-7,S
MMPG,PDS,Piedras Negras Intl,Piedras Negras,Mexico,28.627394,-100.535211,901,-6,S
MMPN,UPN,Licenciado Y Gen Ignacio Lopez Rayon,Uruapan,Mexico,19.396692,-102.039056,5258,-6,S
MMPR,PVR,Licenciado Gustavo Diaz Ordaz Intl,Puerto Vallarta,Mexico,20.680083,-105.254167,23,-6,S
MMPS,PXM,Puerto Escondido Intl,Puerto Escondido,Mexico,15.876861,-97.089117,294,-6,S
MMQT,QRO,Queretaro Intercontinental,Queretaro,Mexico,20.617289,-100.185658,6296,-6,S
MMRX,REX,General Lucio Blanco Intl,Reynosa,Mexico,26.008908,-98.228513,139,-6,S
MMSD,SJD,Los Cabos Intl,San Jose Del Cabo,Mexico,23.15185,-109.721044,374,-7,S
MMSP,SLP,Ponciano Arriaga Intl,San Luis Potosi,Mexico,22.254303,-100.930806,6035,-6,S
MMTA,TXA,Tlaxcala,Tlaxcala,Mexico,19.537964,-98.173467,8229,-6,S
MMTC,TRC,Torreon Intl,Torreon,Mexico,25.568278,-103.410583,3688,-6,S
MMTG,TGZ,Angel Albino Corzo,Tuxtla Gutierrez,Mexico,16.561822,-93.026081,1491,-6,S
MMTJ,TIJ,General Abelardo L Rodriguez Intl,Tijuana,Mexico,32.541064,-116.970158,489,-8,S
MMTM,TAM,General Francisco Javier Mina Intl,Tampico,Mexico,22.29645,-97.865931,80,-6,S
MMTN,TSL,Tamuin,Tamuin,Mexico,22.038292,-98.806503,164,-6,S
MMTO,TLC,Licenciado Adolfo Lopez Mateos Intl,Toluca,Mexico,19.337072,-99.566008,8466,-6,S
MMTP,TAP,Tapachula Intl,Tapachula,Mexico,14.794339,-92.370025,97,-6,S
MMUN,CUN,Cancun Intl,Cancun,Mexico,21.036528,-86.877083,20,-6,S
MMVA,VSA,C P A Carlos Rovirosa Intl,Villahermosa,Mexico,17.997,-92.817361,46,-6,S
MMVR,VER,General Heriberto Jara Intl,Vera Cruz,Mexico,19.145931,-96.187267,90,-6,S
MMZC,ZCL,General Leobardo C Ruiz Intl,Zacatecas,Mexico,22.897112,-102.68689,7141,-6,S
MMZH,ZIH,Ixtapa Zihuatanejo Intl,Zihuatanejo,Mexico,17.601569,-101.460536,26,-6,S
MMZM,ZMM,Zamora,Zamora,Mexico,20.045036,-102.275955,5141,-6,S
MMZO,ZLO,Playa De Oro Intl,Manzanillo,Mexico,19.144778,-104.558631,30,-6,S
MNBL,BEF,Bluefields,Bluefields,Nicaragua,11.990961,-83.774086,41,-6,U
MNBZ,BZA,Bonanza Airport,Bonanza,Nicaragua,14.041667,-84.630556,597,-6,U
MNCI,RNI,Corn Island Airport,Corn Island,Nicaragua,12.168611,-83.0675,26,-6,U
MNMG,MGA,Managua Intl,Managua,Nicaragua,12.141494,-86.168178,194,-6,U
MNPC,PUZ,Puerto Cabezas,Puerto Cabezas,Nicaragua,14.047194,-83.386722,69,-6,U
MNRT,RFS,Rosita Airport,Rosita,Nicaragua,13.897222,-84.404722,207,-6,U
MNSI,SIU,Siuna Airport,Siuna,Nicaragua,13.716667,-84.776944,480,-6,U
MNWP,WSP,Waspam Airport,Waspam,Nicaragua,14.737778,-83.975833,115,-6,U
MPBO,BOC,Bocas Del Toro Intl,Bocas Del Toro,Panama,9.340853,-82.250842,10,-5,U
MPCE,CTD,Alonso Valderrama Airport,Chitré,Panama,7.98784,-80.4097,33,-5,U
MPCH,CHX,Cap Manuel Nino Intl,Changuinola,Panama,9.458636,-82.516806,19,-5,U
MPDA,DAV,Enrique Malek Intl,David,Panama,8.391003,-82.434992,89,-5,U
MPEJ,ONX,Enrique Adolfo Jimenez Airport,Colón,Panama,9.35664,-79.8674,25,-5,U
MPHO,HOW,Howard,Howard,Panama,8.914794,-79.599633,52,-5,U
MPJE,JQE,Jaqué Airport,Jaqué,Panama,7.51778,-78.1572,29,-5,U
MPLP,PLP,Captain Ramon Xatruch Airport,La Palma,Panama,8.40667,-78.1417,30,-5,U
MPMG,PAC,Marcos A Gelabert Intl,Panama,Panama,8.973339,-79.555583,31,-5,U
MPOA,PUE,Puerto Obaldia,Puerto Obaldia,Panama,8.68333,-77.5333,223,-5,U
MPTO,PTY,Tocumen Intl,Panama City,Panama,9.071364,-79.383453,135,-5,U
MRAN,FON,Arenal Airport,La Fortuna/San Carlos,Costa Rica,10.478,-84.6345,342,-6,U
MRAO,TTQ,Aerotortuguero Airport,Roxana,Costa Rica,10.569,-83.5148,82,-6,U
MRBC,BCL,Barra del Colorado Airport,Pococi,Costa Rica,10.768736,-83.585614,3,-6,U
MRCA,CSC,Codela Airport,Guapiles,Costa Rica,10.414,-85.0917,328,-7,U
MRCC,OTR,Coto 47,Coto 47,Costa Rica,8.601556,-82.968614,26,-5,U
MRCR,RIK,Carrillo Airport,Carrillo,Costa Rica,9.866667,-85.483333,10,-6,U
MRCV,TNO,Cabo Velas Airport,Nicoya,Costa Rica,10.3557,-85.852892,33,-6,U
MRDK,DRK,Drake Bay Airport,Puntarenas,Costa Rica,8.71889,-83.6417,12,-6,N
MRGF,GLF,Golfito,Golfito,Costa Rica,8.653775,-83.180544,49,-6,U
MRIA,PBP,Islita Airport,Nandayure,Costa Rica,9.85611,-85.3708,7,-6,U
MRLB,LIR,Daniel Oduber Quiros Intl,Liberia,Costa Rica,10.593289,-85.544408,270,-6,U
MRLM,LIO,Limon Intl,Limon,Costa Rica,9.957961,-83.022006,7,-6,U
MRNS,NOB,Nosara,Nosara Beach,Costa Rica,9.97649,-85.653,33,-6,U
MROC,SJO,Juan Santamaria Intl,San Jose,Costa Rica,9.993861,-84.208806,3021,-6,U
MRPJ,PJM,Puerto Jimenez Airport,Puerto Jimenez,Costa Rica,8.53333,-83.3,7,-6,U
MRPM,PMZ,Palmar Sur,Palmar Sur,Costa Rica,8.951025,-83.468583,49,-6,U
MRPV,SYQ,Tobias Bolanos International Airport,San Jose,Costa Rica,9.957053,-84.139797,3287,-6,U
MRQP,XQP,La Managua,Quepos,Costa Rica,9.443164,-84.129772,85,-6,U
MRSR,PLD,Playa Samara Airport,Playa Samara,Costa Rica,10.25,-85.417,10,-6,U
MRTR,TMU,Tambor Airport,Nicoya,Costa Rica,9.73852,-85.0138,33,-6,U
MSLP,SAL,El Salvador Intl,San Salvador,El Salvador,13.440947,-89.055728,101,-6,U
MTCH,CAP,Cap Haitien Intl,Cap Haitien,Haiti,19.732989,-72.194739,10,-5,U
MTJE,JEE,Jeremie Airport,Jeremie,Haiti,18.6631,-74.1703,147,-5,U
MTPP,PAP,Toussaint Louverture Intl,Port-au-prince,Haiti,18.58005,-72.292542,122,-5,U
MTPX,PAX,Port-de-Paix Airport,Port-de-Paix,Haiti,19.9336,-72.8486,9,-5,U
MUBA,BCA,Gustavo Rizo,Baracoa Playa,Cuba,20.365317,-74.506206,26,-5,U
MUBY,BYM,Carlos Manuel De Cespedes,Bayamo,Cuba,20.396331,-76.621494,203,-5,U
MUCA,AVI,Maximo Gomez,Ciego De Avila,Cuba,22.027053,-78.789617,335,-5,U
MUCF,CFG,Jaime Gonzalez,Cienfuegos,Cuba,22.15,-80.414167,102,-5,U
MUCL,CYO,Vilo Acuna Intl,Cayo,Cuba,21.616453,-81.545989,10,-5,U
MUCM,CMW,Ignacio Agramonte Intl,Camaguey,Cuba,21.420428,-77.847433,413,-5,U
MUCU,SCU,Antonio Maceo Intl,Santiago De Cuba,Cuba,19.969769,-75.835414,249,-5,U
MUGT,GAO,Mariana Grajales,Guantanamo,Cuba,20.085419,-75.158328,56,-5,U
MUHA,HAV,Jose Marti Intl,Havana,Cuba,22.989153,-82.409086,210,-5,U
MUHG,HOG,Frank Pais Intl,Holguin,Cuba,20.785589,-76.315108,361,-5,U
MULM,LCL,La Coloma,La Coloma,Cuba,22.336261,-83.642111,131,-5,U
MUMO,MOA,Orestes Acosta,Moa,Cuba,20.654114,-74.922114,16,-5,U
MUMZ,MZO,Sierra Maestra,Manzanillo,Cuba,20.288172,-77.0893,112,-5,U
MUNG,GER,Rafael Cabrera,Nueva Gerona,Cuba,21.834689,-82.783819,79,-5,U
MUNI,MUQ,Munich HBF,Munich,Germany,48.1408,11.555,1200,2,E
MUOC,CCC,Cayo Coco Airport,Cayo Coco,Cuba,22.5132,-78.511,6,-5,U
MUSC,SNU,Abel Santamaria,Santa Clara,Cuba,22.492192,-79.943611,338,-5,U
MUTD,TND,Alberto Delgado Airport,Trinidad,Cuba,21.788461,-79.997203,125,-5,U
MUVR,VRA,Juan Gualberto Gomez Intl,Varadero,Cuba,23.034445,-81.435278,210,-5,U
MUVT,VTU,Hermanos Ameijeiras,Las Tunas,Cuba,20.987642,-76.9358,328,-5,U
MWCB,CYB,Gerrard Smith Intl,Cayman Barac,Cayman Islands,19.686981,-79.882789,8,-5,U
MWCL,LYB,Edward Bodden Airfield,Little Cayman,Cayman Islands,19.6591666667,-80.09083333,1,-5,U
MWCR,GCM,Owen Roberts Intl,Georgetown,Cayman Islands,19.292778,-81.35775,8,-5,U
MYAF,ASD,Fresh Creek,Andros Town,Bahamas,24.698283,-77.795611,5,-5,U
MYAK,COX,Congo Town Airport,Andros,Bahamas,24.158933,-77.589758,15,-5,U
MYAM,MHH,Marsh Harbour,Marsh Harbor,Bahamas,26.511406,-77.083472,6,-5,U
MYAN,SAQ,San Andros,San Andros,Bahamas,25.053814,-78.048997,5,-5,U
MYAP,AXP,Spring Point,Spring Point,Bahamas,22.441828,-73.970858,11,-5,U
MYAT,TCB,Treasure Cay,Treasure Cay,Bahamas,26.745336,-77.391269,8,-5,U
MYBC,CCZ,Chub Cay,Chub Cay,Bahamas,25.417108,-77.88085,5,-5,U
MYBS,BIM,South Bimini,Alice Town,Bahamas,25.699881,-79.264656,10,-5,U
MYCA,ATC,Arthurs Town Airport,Arthur's Town,Bahamas,24.629417,-75.673775,18,-5,U
MYCB,CAT,New Bight Airport,Cat Island,Bahamas,24.315292,-75.452331,5,-5,U
MYCI,CRI,Colonel Hill Airport,Colonel Hill,Bahamas,22.745561,-74.182353,5,-5,U
MYEF,GGT,Exuma Intl,Great Exuma,Bahamas,23.562631,-75.877958,9,-5,U
MYEH,ELH,North Eleuthera,North Eleuthera,Bahamas,25.474861,-76.683489,13,-5,U
MYEM,GHB,Governors Harbour,Governor's Harbor,Bahamas,25.284706,-76.331011,26,-5,U
MYER,RSD,Rock Sound,Rock Sound,Bahamas,24.8917,-76.177739,10,-5,U
MYGF,FPO,Grand Bahama Intl,Freeport,Bahamas,26.558686,-78.695553,7,-5,U
MYIG,IGA,Matthew Town,Matthew Town,Bahamas,20.975,-73.666862,8,-5,U
MYLD,LGI,Deadmans Cay,Dead Man's Cay,Bahamas,23.179014,-75.093597,9,-5,U
MYLS,SML,Stella Maris,Stella Maris,Bahamas,23.581444,-75.270475,10,-5,U
MYMM,MYG,Mayaguana,Mayaguana,Bahamas,22.379528,-73.0135,11,-5,U
MYNN,NAS,Lynden Pindling Intl,Nassau,Bahamas,25.038958,-77.466231,16,-5,U
MYPI,PID,Nassau Paradise Island Airport,Nassau,Bahamas,25.083,-77.3,0,-5,U
MYSM,ZSA,San Salvador,Cockburn Town,Bahamas,24.063275,-74.523967,24,-5,U
MZ10,SPR,San Pedro,San Pedro,Belize,17.913936,-87.971075,4,-6,U
MZBZ,BZE,Philip S W Goldson Intl,Belize City,Belize,17.539144,-88.308203,15,-6,U
N36,WTE,Wotje Atoll Airport,Wotje Atoll,Marshall Islands,9.46667,170.233,4,12,U
N55,UIT,Jaluit Airport,Jabor Jaluit Atoll,Marshall Islands,5.90924,169.637,4,12,U
NCAI,AIT,Aitutaki,Aitutaki,Cook Islands,-18.830922,-159.764233,14,-10,U
NCAT,AIU,Atiu Island Airport,Atiu Island,Cook Islands,-19.9678,-158.119,36,-10,U
NCMG,MGS,Mangaia Island Airport,Mangaia Island,Cook Islands,-21.8956,-157.905,45,-10,U
NCMH,MHX,Manihiki Island Airport,Manihiki Island,Cook Islands,-10.3767,-161.002,0,-10,U
NCMK,MUK,Mauke Airport,Mauke Island,Cook Islands,-20.1361,-157.345,26,-10,U
NCMR,MOI,Mitiaro Island Airport,Mitiaro Island,Cook Islands,-19.8425,-157.703,25,-10,U
NCPY,PYE,Penrhyn Island Airport,Penrhyn Island,Cook Islands,-9.00667,-158.037,8,-10,U
NCRG,RAR,Rarotonga Intl,Avarua,Cook Islands,-21.202739,-159.805556,19,-10,U
NFCI,ICI,Cicia Airport,Cicia,Fiji,-17.7433,-179.342,13,12,U
NFFN,NAN,Nadi Intl,Nandi,Fiji,-17.755392,177.443378,59,12,U
NFFO,PTF,Malolo Lailai Island Airport,Malolo Lailai Island,Fiji,-17.7779,177.197,10,12,U
NFKD,KDV,Vunisea Airport,Vunisea,Fiji,-19.0581,178.157,6,12,U
NFMA,MNF,Mana Island Airport,Mana Island,Fiji,-17.6731,177.098,0,12,U
NFMO,MFJ,Moala Airport,Moala,Fiji,-18.5667,179.951,13,12,U
NFNA,SUV,Nausori Intl,Nausori,Fiji,-18.043267,178.559228,17,12,U
NFNB,LEV,Levuka Airfield,Levuka,Fiji,-17.68333,178.83333,11,12,N
NFNG,NGI,Ngau Airport,Ngau,Fiji,-18.1156,179.34,50,12,U
NFNK,LKB,Lakeba Island Airport,Lakeba Island,Fiji,-18.1992,-178.817,280,12,U
NFNL,LBS,Labasa Airport,Lambasa,Fiji,-16.466749,179.33986,44,12,U
NFNM,TVU,Matei Airport,Matei,Fiji,-16.6906,-179.877,60,12,U
NFNO,KXF,Koro Island Airport,Koro Island,Fiji,-17.3458,179.422,358,12,U
NFNR,RTA,Rotuma Airport,Rotuma,Fiji,-12.4825,177.071,22,12,U
NFNS,SVU,Savusavu Airport,Savusavu,Fiji,-16.8028,179.341,17,12,U
NFTE,EUA,Kaufana Airport,Eua Island,Tonga,-21.3783,-174.958,325,13,U
NFTF,TBU,Fua Amotu Intl,Tongatapu,Tonga,-21.241214,-175.149644,126,13,U
NFTL,HPA,Lifuka Island Airport,Lifuka,Tonga,-19.777,-174.341,31,13,U
NFTO,NFO,Mata'aho Airport,"Angaha, Niuafo'ou Island",Tonga,-15.5708,-175.633,160,13,U
NFTP,NTT,Kuini Lavenia Airport,Niuatoputapu,Tonga,-15.9767,-173.755,0,13,U
NFTV,VAV,Vavau Intl,Vava'u,Tonga,-18.585336,-173.961717,236,13,U
NFVB,VBV,Vanua Balavu Airport,Vanua Balavu,Fiji,-17.269,-178.976,76,12,U
NGAB,ABF,Abaiang Atoll Airport,Abaiang Atoll,Kiribati,1.8,173.04,1,-12,U
NGBR,BEZ,Beru Island Airport,Beru Island,Kiribati,-1.254722,176.007222,10,10,U
